offense,date,latitude,longitude
STOLEN VEHICLE,8/14/2012 1:30,40.75636098,-111.9364598
STOLEN VEHICLE,10/12/2012 10:00,40.74969191,-111.8595237
STOLEN VEHICLE,1/7/2012 16:24,40.72828539,-111.8474745
STOLEN VEHICLE,12/1/2012 16:52,40.73891895,-111.8998151
STOLEN VEHICLE,10/23/2012 16:50,40.77173006,-111.9392332
STOLEN VEHICLE,8/13/2012 12:53,40.76451601,-111.9040821
STOLEN VEHICLE,6/18/2012 20:10,40.77394692,-111.8804292
STOLEN VEHICLE,11/28/2012 11:00,40.77162789,-111.911506
STOLEN VEHICLE,5/8/2012 14:42,40.67713627,-111.8912559
STOLEN VEHICLE,9/16/2012 16:38,40.77756307,-111.8715599
STOLEN VEHICLE,6/26/2012 11:13,40.76440256,-111.9295346
STOLEN VEHICLE,10/18/2012 20:10,40.76995732,-111.8835371
STOLEN VEHICLE,12/11/2012 12:00,40.82876186,-111.9372164
STOLEN VEHICLE,6/29/2012 18:55,40.75842436,-111.8653631
STOLEN VEHICLE,12/13/2012 4:38,40.73349332,-111.8766385
STOLEN VEHICLE,9/4/2012 0:00,40.73556582,-111.8566797
STOLEN VEHICLE,12/28/2012 21:00,40.71659447,-111.8724493
STOLEN VEHICLE,2/9/2012 10:00,40.76054653,-111.8652176
STOLEN VEHICLE,8/10/2012 9:25,40.76282689,-111.9255385
STOLEN VEHICLE,11/15/2012 18:18,40.74803912,-111.9345527
STOLEN VEHICLE,2/24/2012 14:07,40.77374056,-111.899652
STOLEN VEHICLE,3/4/2012 0:00,40.74968266,-111.8997143
STOLEN VEHICLE,8/18/2012 19:16,40.77392653,-111.8684497
STOLEN VEHICLE,1/24/2012 7:16,40.73994296,-111.8823788
STOLEN VEHICLE,9/1/2012 15:56,40.66726905,-111.9235727
STOLEN VEHICLE,12/9/2012 16:28,40.76931479,-111.8822055
STOLEN VEHICLE,11/28/2012 6:00,40.78040409,-111.9428399
STOLEN VEHICLE,11/29/2012 17:00,40.76487193,-111.9348839
STOLEN VEHICLE,9/21/2012 11:49,40.7310134,-111.8652088
STOLEN VEHICLE,4/29/2012 9:21,40.72742584,-111.8853008
STOLEN VEHICLE,1/13/2012 9:34,40.80179806,-111.9424384
STOLEN VEHICLE,9/28/2012 8:00,40.75405378,-111.8825244
STOLEN VEHICLE,10/9/2012 13:54,40.75411646,-111.8823689
STOLEN VEHICLE,10/20/2012 9:59,40.79779034,-111.9393079
STOLEN VEHICLE,12/11/2012 11:14,40.75137454,-111.9772822
STOLEN VEHICLE,12/6/2012 19:08,40.74151196,-111.8939739
STOLEN VEHICLE,8/6/2012 19:00,40.73343037,-111.8739454
STOLEN VEHICLE,1/7/2012 20:13,40.66726905,-111.9235727
STOLEN VEHICLE,8/2/2012 6:56,40.75400037,-111.9141023
STOLEN VEHICLE,6/12/2012 6:10,40.75632706,-111.8940582
STOLEN VEHICLE,5/20/2012 22:30,40.74250189,-111.8823661
STOLEN VEHICLE,6/14/2012 3:30,40.80718771,-111.9383954
STOLEN VEHICLE,2/15/2012 16:08,40.76063405,-111.8619499
STOLEN VEHICLE,8/23/2012 12:05,40.7403187,-111.9112359
STOLEN VEHICLE,12/4/2012 14:02,40.66726905,-111.9235727
STOLEN VEHICLE,8/22/2012 8:00,40.78188707,-111.8744287
STOLEN VEHICLE,1/11/2012 23:14,40.76931479,-111.8822055
STOLEN VEHICLE,5/1/2012 6:00,40.76067429,-111.9343954
STOLEN VEHICLE,8/11/2012 20:14,40.74525567,-111.9111093
STOLEN VEHICLE,3/21/2012 13:00,40.77849512,-111.893976
STOLEN VEHICLE,10/21/2012 18:40,40.75408008,-111.8882624
STOLEN VEHICLE,5/16/2012 19:43,40.72348132,-111.8133369
STOLEN VEHICLE,9/10/2012 7:15,40.73722133,-111.8185002
STOLEN VEHICLE,8/5/2012 21:13,40.77807945,-111.8970164
STOLEN VEHICLE,7/22/2012 7:49,40.78689857,-111.886182
STOLEN VEHICLE,1/17/2012 4:59,40.73384185,-111.9372454
STOLEN VEHICLE,11/6/2012 8:00,40.74859386,-111.882369
STOLEN VEHICLE,9/12/2012 18:10,40.74976333,-111.8652309
STOLEN VEHICLE,10/13/2012 17:08,40.7163952,-111.8580481
STOLEN VEHICLE,7/22/2012 10:18,40.73916125,-111.8939551
STOLEN VEHICLE,10/16/2012 10:10,40.76487193,-111.9348839
STOLEN VEHICLE,4/2/2012 9:30,40.72714925,-111.9169018
STOLEN VEHICLE,9/27/2012 8:00,40.70777877,-111.8591826
STOLEN VEHICLE,9/6/2012 10:17,40.75617711,-111.9390653
STOLEN VEHICLE,7/15/2012 14:36,40.73664713,-111.8157076
STOLEN VEHICLE,3/8/2012 7:27,40.71814347,-111.8525915
STOLEN VEHICLE,11/17/2012 15:12,40.7728051,-111.8834181
STOLEN VEHICLE,12/26/2012 3:25,40.76275092,-111.865372
STOLEN VEHICLE,8/6/2012 0:00,40.83993092,-111.9043246
STOLEN VEHICLE,11/29/2012 20:30,40.73384185,-111.9372454
STOLEN VEHICLE,11/9/2012 0:00,40.75400037,-111.9154042
STOLEN VEHICLE,7/4/2012 1:30,40.77180091,-111.8820136
STOLEN VEHICLE,6/26/2012 2:35,40.77507617,-111.8804292
STOLEN VEHICLE,4/5/2012 22:30,40.77588665,-111.9112585
STOLEN VEHICLE,10/28/2012 2:41,40.76394928,-111.8940844
STOLEN VEHICLE,8/19/2012 11:30,40.78004124,-111.8899276
STOLEN VEHICLE,2/14/2012 16:09,40.75410318,-111.8766695
STOLEN VEHICLE,11/10/2012 16:05,40.76054653,-111.8679499
STOLEN VEHICLE,6/5/2012 7:26,40.78842867,-111.946366
STOLEN VEHICLE,6/2/2012 12:50,40.76487193,-111.9348839
STOLEN VEHICLE,6/25/2012 23:45,40.771684,-111.8834272
STOLEN VEHICLE,9/20/2012 15:46,40.72209398,-111.8668039
STOLEN VEHICLE,7/9/2012 19:03,40.67691476,-111.8733727
STOLEN VEHICLE,6/26/2012 22:28,40.75958232,-111.9255621
STOLEN VEHICLE,8/23/2012 15:26,40.78029019,-111.9125121
STOLEN VEHICLE,11/14/2012 20:00,40.68481389,-111.8799377
STOLEN VEHICLE,7/8/2012 7:11,40.77180067,-111.8715526
STOLEN VEHICLE,5/27/2012 2:00,40.75632706,-111.8940582
STOLEN VEHICLE,2/25/2012 15:00,40.74979031,-111.8838936
STOLEN VEHICLE,7/17/2012 11:30,40.77373018,-111.9055856
STOLEN VEHICLE,10/9/2012 17:33,40.76933694,-111.8677838
STOLEN VEHICLE,1/4/2012 8:35,40.78667125,-111.9435408
STOLEN VEHICLE,6/16/2012 3:00,40.75032834,-111.9283208
STOLEN VEHICLE,1/4/2012 8:50,40.77374056,-111.899652
STOLEN VEHICLE,9/22/2012 18:41,40.77173006,-111.9392332
STOLEN VEHICLE,2/14/2012 16:39,40.77378041,-111.9138229
STOLEN VEHICLE,10/20/2012 8:38,40.76272404,-111.9197338
STOLEN VEHICLE,7/13/2012 8:34,40.75514025,-111.9365169
